Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1842 - August 10 & 11,Manchester,Economic / Political,"Anti-Corn Law League riots. Marching around to turn out workers (including railway workers). Windows of factories smashed and mills attacked if they refused to turn out. Manager of mill had his house attacked - furniture thrown out of windows and made into weapons by the crowd. Tried to destroy power looms in Picadilly.
Strike originally in mills by cotton spinners but soon spreading to other industries. Attacks on railway lines (maps made of communication lines). Violence only resorted to when threats didn't work. Attack gas works at Gould Street trying tp plunge city into darkness (smashed gas engineers house too). 
Marching into Manchester from Ashton, Stalyrbidge, Harperhuey and Hyde. 
Hooting and assaulting the police. Police lock-up in Newton demolished - furniture smashed and thrown in river. Cheering on the soldiers though... Stoning the police, they ran to hide in local homes, were dragged out by rioters. Attacked cavalry barracks. 
Attacking provision shops, begging money of anyone who looked 'well to do'. Demanding bread from houses. Shopkeepers in Hyde giving out food on credit. Some bakers shops in Deansgate totally gutted - bread taken out and distributed amongst the crowd. Tried to break into watchmakers shop. Mob saw shopkeeper in Oldham street pulling down his shutters and that was cue for attack. Demanding money saying they had had enough bread. Bridge Street Shambles also looted.
Mass meetings. Pledging themselves to People's Charter and abolition of Corn Laws. (Many 1000 involved)",1,1,1,"Police, knobsticks, army, factories, shops, private homes, respectable individuals, lock ups, gas works, machinery (less than before). ",Both,Both,Yes,"Employers, respectable looking gentlemen, knobsticks"," Exchange, Oldham Road, Oxford Road, Chorlton-upon-Medlock, Great Ancoats street, Ancoats street, Salford, Cheetham Hill, better-off suburbs, Wilmslow, Charles street, London road, Greengate, Chapel Street, Newton, Granby Row Fields, Deansgate, Picadilly, Ardwick Island, Princess street, Oldfield street, Ashton, Oppenshaw, Farifield. Ancoats Vale, Downing street, Lower Mosley, Faulkner street, Great Bridgewater street. Liverpool street. ","Oldham Road, Manchester, UK",53.486715,-2.228026,"Factories, lock ups",,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Days,1842-08-10,Morning (10am),Y,1842-08,1842,August,Wednesday,No
1842 - September 15,Manchester,Economic / Political,"Attack on weavers factory with stones. Inmates rush out to defend it.
Smashing windows then running off (in evening)
Trying to turn out workers and attacking when refused",0,0,1,"Factory, knobsticks",Public,Both,No,Knobsticks,"Oldfield road, Salford
Oxford road
James street, Booth street, Chorlton and Gaythorn (Chester street)","Oldfield road Salford, Manchester, UK",53.4782237,-2.2683328,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1842-09-15,Morning (8.30am) into evening,Y,1842-09,1842,September,Thursday,No
1843 - May 16,Manchester,Economic,"Brick factory attacked by organised and armed mob of brickmakers (long standing dispute). (Crowd of 3-400)
Shots fired, destroying new bricks and shooting at police/workers, attempted to get the employer",0,0,0,"Factory (bricks), workers, police/troops guarding. Employer himself",Public,Both,No,"Scabs, employers",Eccles New Road,"Eccles New Road, Manchester, UK",53.4840915,-2.3300705,Brick croft,,Brick croft,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1843-05-16,Evening (11pm),N,1843-05,1843,May,Tuesday,No
1843 - May 22 & 23,Manchester,Misc (soldiers / anti-police),"Military united with mob in attack on police. Fighting. 
Station House on Oldham Road totally demolished
Smashed windows of house (where policeman was sheltering)",1,0,0,"Police, and private homes and police buildings",Private (ish),Both,No,No,"Kirby Street, Pollard street, New Cross, Oldham Road","Oldham Road, Manchester, UK",53.486825,-2.227796,Pub,,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Days,1843-05-22,Afternoon/evening (5pm),Y,1843-05,1843,May,Monday,No
1844 - July 20,Manchester,Misc (soldiers),"Volunteer soldiers fighting each other, locals joining in. Police intervene and soldiers arm themselves with cudgels",0,0,0,Each other,Public,People,No,No,Deansgate,"Deansgate, Manchester, UK",53.479268,-2.2489946,Street,,Street,Streets and fields,No,Hours,1844-07-20,Evening (8pm),N,1844-07,1844,July,Saturday,No
1844 - September 9,Manchester,Economic,"Rushcarters 'jostling'. Turns into fight with poles, one man dies. Happens at Oldham Wakes",0,0,0,Each other,Public,People,No,No,Oldham market place,"Oldham market place, Manchester, UK",53.5419081,-2.1145575,Market,Market place,Market place,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1844-09-09,Daytime,Y,1844-09,1844,September,Monday,No
1846 - March,Manchester,Economic,Strike. Intimidating pickets,0,0,0,Workers,Public,People,No,No,Main railway station,Main railway station,NA,NA,Railway station,Main Railway station,Railway station,"Workplaces (factory, workshops, docks etc)",Yes,??,NA,All day from morning,Y,1846-03,1846,March,NA,No
1847 - May 15,Manchester,Misc (anti-police),Prixe fight crowd disrupted by officer. He is viciously attacked and kicked into river,0,0,0,Police,Public,People,No,No,Crumpsall,"Crumpsall, Manchester, UK",53.516269,-2.237311,??,,??,??,No,Minutes,1847-05-15,Afternoon,Y,1847-05,1847,May,Saturday,No
1847 - December 15,Manchester,Political,"Election riot at Stockport. Attacking opposition, their committee houses, pubs, own pubs, police",0,0,0,"Police, Rival political parties, pubs, committee rooms",Public,Both,No,No,"Stockport Lyceum, Portwood, Millgate, Bridget Street","Millgate, Stockport, UK",53.411582,-2.154372,Committee Room,,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1847-12-15,Night (10pm),N,1847-12-01,1847,December,Wednesday,Election
1848 - March 9,Manchester,Political / Economic,"Attempt to 'turn people out' at workhouse
Smashing shop windows. Mass meetings with speeches.
Visiting factories, workers inside fighting back. Attacking factory manager. Attacks on police. Smashing up stalls in Smithfield and Shudehill Market to use as weapons. Smashing gas lamps. 
Talk of liberating the bastiles.
Levvied bread from bakers - stuck on pole as symbol.
Parading and marching around town.",0,1,1,"Factories, workhouses, police, gas lamps, shops.",Public,Both,No,"Scabs, employers","Tibb Street, Blackfriars, Smithfield Market, Ancoats Lane, New Cross,Oldham Road, New Islington, Bradford Road, Swan Street, Shudehill Market, Bengal Street, Union Street, Rochdale Road. Hulme, Salford.","Tibb Street, Manchester, UK",53.4832748,-2.2355296,Work house,,Work house,Work house,Yes,Days,1848-03-09,3pm into the evening,Y,1848-03,1848,March,Thursday,No
1848 - May 31,Manchester,Political,"Demo at Stephenson Square. Marching around heavily armed. Pulling up paving slabs. Stone throwing and bit of fighting but quickly dispersed. Banners, bands and speechs. Son of local MP beaten.",0,0,0,Police and windows,Public,Both,No,Son of local MP,"Stevenson Square, Oldham Road, Bennet Street. Ancoats, Oldham street.","Stevenson Square, Manchester, UK",53.4825689,-2.2337048,Open air meeting,Stevenson Square,Open air meeting,Streets and fields,No,Days,1848-05-31,Morning (from 10am) into evening,Y,1848-05,1848,May,Wednesday,No
1848 - August 14,Manchester,Political / Economic,Rumours of armed uprising by Chartists. In Ashton armed men shoot dead one policeman and try to kill other policeman and shot at surgeon in his window,0,0,0,"Police, figures of authority",Both,People,Yes,Police and figures of authority,Ashton and Dukinfield,"Ashton-under-Lyne, UK",53.487781,-2.095837,Streets,,Streets,Streets and fields,No,Hours,1848-08-14,Midnight,N,1848-08-01,1848,August,Monday,No
1849 - September,Manchester,Political,In-fighting at Chartist meeting,0,0,0,Each other,Public,People,No,No,"""The People's Institute""","The People's Institute, Manchester, UK",53.4795,-2.24242,Meeting,The Peopleâ€™s Institute,Meeting,Meeting hall,No,Minutes,NA,??,,1849-09,1849,September,NA,No
1850 - October 27,Manchester,Misc,Stoning houses and attacking window frames,0,0,0,Houses,Private,Property,Yes,??,Little Ireland,"Little Ireland, Manchester, UK",53.473542,-2.242108,"Streets, homes",,"Streets, homes",Streets and fields,No,Hours,1850-10-27,Afternoon (3pm),Y,1850-10,1850,October,Sunday,No
1851 - July 19,Manchester,Economic,Union men attacking non-union men in brickfield. Destroying half-made bricks,0,0,0,Workers. Half made goods,Public,Both,No,No,??,NA,NA,NA,Brickfield,,Brickfield,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1851-07-19,??,,1851-07,1851,July,Saturday,No
1851 - December 11,Manchester,Identity,Attacking meeting. Armed. Dispersed when ordered to do so by fellow Catholic,0,0,0,Protestant meeting,Public,Both,No,No,Stalybridge Town Hall,"Stalybridge Town Hall, Manchester, UK",53.483126,-2.055682,Meeting,Stalybridge Town Hall,Meeting,Meeting hall,No,Hours,1851-12-11,Evening,N,1851-12,1851,December,Thursday,No
1852 - June 28 & 29,Manchester,Identity/Political,Anti-catholic riot in Stockport as part of 1852 general election which had become a No Popery campaign. two catholic churches burned down and one person killed. Built on growing anti-Catholic sentiment since 1850 re-instation of Catholic Hierarchy in England. Unrest escalated over a few nights (Herbert - Wear of the Green p. 36). Tit for tat violence. 111 out of 113 arrests were Irish. Local politics also fed into it with local Protestant Association formed in 1850 and Stockport Advertiser (strongly pro-Tory paper) stirring emotions,0,0,0,Irish Catholics. Churches,Both,Both,Yes,Irish Catholics,Stockport,"Stockport, Manchester, UK",53.4106316,-2.1575332,"Streets, churches",,"Streets, churches",Streets and fields,No,Days,1852-06-28,Evening,N,1852-06,1852,June,Monday,Election
1853 - August 2,Manchester,Economic,Picket at dyeing and fishing factory turns violent. Attack employer and senior people. Challenge new workers to fight (initially peaceable). Rescue people when police try to arrest. Chase down employer who tried to hide in out houses.,1,0,0,Workers and employers,Public,Both,No,Employers,Pendleton,"Pendleton, Manchester, UK",53.490544,-2.284963,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1853-08-02,Evening (5.30-6pm),Y,1853-08,1853,August,Tuesday,No
1853 - August 15,Manchester,Misc (anti-police),Attack on police after they try to arrest someone for being drunk and disorderly,1,0,0,Police,Public,People,No,No,Pendleton Iron Works,Pendleton Iron Works,NA,NA,Factory,,Factory,"Workplaces (factory, workshops, docks etc)",No,Minutes,1853-08-15,Afternoon (3.30pm),Y,1853-08,1853,August,Monday,No
1854 - April 25,Manchester,Economic,"Stoning and following workers who had refused to turn out.
Stoned the police all the way to the lock up (attempt to rescue prisoners)",1,0,0,Workers,Public,People,No,No,Stockport,"Stockport, Manchester, UK",53.4106316,-2.1575332,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Minutes,1854-04-25,Evening (6.30pm),Y,1854-04,1854,April,Tuesday,No
1854 - July Sundays,Manchester,Identity,Attacks on Protestant preachers. Over several consecutive days,0,0,0,Protestant preachers,Public,People,No,No,Various,Various,NA,NA,Churches,,Churches,Church,No,Weeks,NA,Afternoons,Y,1854-07,1854,July,Sunday,No
"1854 - September 5, 6 & 7",Manchester,Identity,Irish vs English rioting in Ashton. Irish attack man in street. Then next day revenge attack on irish homes. next day another attack on irish homes. Police getting attacked,0,0,0,Irish vs English,Both,Both,Yes,Irish Catholics,Ashton,"Ashton, Manchester, UK",53.4876815,-2.0961077,Street,,Streets,Streets and fields,No,Days,1854-09-05,Evening,N,1854-09,1854,September,Tuesday,No
1857 - February 7,Manchester,Misc (anti-police),Police interfere with drunk irish man and are attacked,1,0,0,Police,Public,People,No,No,"Oldham, High Street","Oldham, Manchester, UK",53.540049,-2.113583,Street,,Street,Streets and fields,No,Minutes,1857-02-07,Midnight,N,1857-02,1857,February,Saturday,No
1857 - July 15,Manchester,Misc,"Attack on local pawn-broker over debts within family. Attack son, house, drove family from the hosue",0,0,0,Private home and specific individuals,Private,Both,Yes,Intra-family fight,"Lloyd street, Oldham Road","Lloyd street, Manchester, UK",53.4789847,-2.2461281,House,,House,Home,No,Hours,1857-07-15,Afternoon and into evening,Y,1857-07,1857,July,Wednesday,No
1858 - January 5,Manchester,Misc (soldiers),Attacking pub. Beating customers and tearing out gas pipes of all shops on street.,0,0,0,"Pub windows, gas pipes and customers",Public,Both,No,No,"Bow Street, Ashton","Bow Street Ashton, Manchester, UK",53.4845147,-2.090344,Pub,,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1858-01-05,Night,N,1858-01,1858,January,Tuesday,No
1859 - April 3,Manchester,Identity,Attacking protestant meeting. Police try to arrest someone and are attacked (prisoner rescue).,1,0,0,Protestant Meeting and the police,Public,People,No,No,Free Trade Hall,"Free Trade Hall, Manchester, UK",53.4778043,-2.247156,Meeting,Free Trade Hall,Meeting,Meeting hall,No,Hours,1859-04-03,Evening,N,1859-04,1859,April,Sunday,No
1863 - March 20-24,Manchester,Economic,Marching between Stalybridge and Ashton. Attacking factories. Food rioting.,0,1,1,Factories,Public,Both,No,No,Ashton and Stalybridge,"Ashton, Manchester, UK",53.4876815,-2.0961077,Work house,,??,??,Yes,Days,1863-03-20,??,,1863-03,1863,March,Friday,No
1867 - February 17,Manchester,Economic,Attacking house of scab and beating him,0,0,0,Scab,Private,Both,Yes,Scabs,Clifton Moss and Pendlebury,"Clifton Moss, Manchester, UK",53.527638,-2.3517891,House,,House,Home,Yes,Hours,1867-02-17,Morning,Y,1867-02,1867,February,Sunday,No
1868 - January 23 & 24,Manchester,Identity,"Murphy rioting in Ashton. Lecture being stoned, then revenge attack on irish chapel, then attack on scabs. Another lecture following night, more disturbances as Irish assemble to defend themselves",0,0,0,Irish vs English. Churches and houses and scabs,both,Both,Yes,Irish Catholics,"Ashton (Hill Street), Dukinfield (Astley Street)","Ashton-under-Lyne, UK",53.487781,-2.095837,Church,Catholic Chapel,Church,Church,No,Days,1868-01-23,Night,N,1868-01,1868,January,Thursday,No
1868 - May/April,Manchester,Identity,"Murphy Lecture leads to riot in Ashton. Irish and their homes attacked by english mob.  Breaking into houses armed with sticks hatchets etc. Beating people, smashing furniture and burning it in the houses. Throwing stuff into the courts. Attacked house, Chapel and school (in broad daylight). Tit for tat retaliatory attakcs (irish setting traps). Next day crowd fight and march to Stalybridge and spread riot there.",0,0,0,"Irish and their homes.
School, chapel",Both,Both,Yes,Irish Catholics,Stalybridge and Ashton,"Stalybridge, Manchester, UK",53.483806,-2.0500759,"Chapel, school, houses",,??,??,No,Months,1868-05-10,Day & nights,Y,1868-05,1868,May,Sunday,No
1868 - August 16,Manchester,Identity,Attempt to storm New Windsor Chapel. Stones thrown at police,0,0,0,Chapel and police,Public,Both,No,No,Salford,"Salford, Manchester, UK",53.4875235,-2.2901264,Church,New Windsor Chapel,Church,Church,No,Hours,1868-08-16,"Morning sermon, afternoon and evening sermons",Y,1868-08,1868,August,Sunday,No
1868 - September 5,Manchester,Identity,"Irish phallanx attack meeting held in honour of Murphy. Booing and hissing, stones thrown, attacking passersby. fighting with police. Lots of stoning (seemed to be enjoying themselves).",0,0,0,Protestant meeting,Public,Both,No,No,Chorlton Rw. Pine Street. ,"Chorlton Row, Manchester, UK",53.473747,-2.238626,Open air meeting,,Open air meeting,Streets and fields,No,Hours,1868-09-05,Afternoon (4pm),Y,1868-09,1868,September,Saturday,No
